Reference	Challenger	Metric	pValue	diff	se	ci.lower	ci.upper
EpitopeTransfer	Bepipred 3.0 	AUC	1.09883004839606e-05	0.122020717	0.024400021	0.061098811	0.182942623
EpitopeTransfer	Epidope 	AUC	0.001724022	0.089545742	0.024400021	0.028623836	0.150467649
EpitopeTransfer	Epitope1D 	AUC	3.7020939178678e-06	0.12957209	0.024400021	0.068650183	0.190493996
EpitopeTransfer	EpitopeVec 	AUC	1.85614709791171e-06	0.132365671	0.024400021	0.071443764	0.193287577
EpitopeTransfer	Bepipred 3.0 	Accuracy	0.001840352	0.11982756	0.032936396	0.037570469	0.202084651
EpitopeTransfer	Epidope 	Accuracy	9.15362371456396e-08	0.201408793	0.032936396	0.119151702	0.283665884
EpitopeTransfer	Epitope1D 	Accuracy	0.000157333	0.143910352	0.032936396	0.061653261	0.226167443
EpitopeTransfer	EpitopeVec 	Accuracy	7.37820088381191e-06	0.170903587	0.032936396	0.088646496	0.253160677
EpitopeTransfer	Bepipred 3.0 	Balanced accuracy	0.00067107	0.086310266	0.021838877	0.031753508	0.140867024
EpitopeTransfer	Epidope 	Balanced accuracy	1.48678910005806e-06	0.122680131	0.021838877	0.068123373	0.177236889
EpitopeTransfer	Epitope1D 	Balanced accuracy	1.21946181457222e-05	0.108907085	0.021838877	0.054350327	0.163463844
EpitopeTransfer	EpitopeVec 	Balanced accuracy	3.4172832241719e-06	0.115774422	0.021838877	0.061217663	0.17033118
EpitopeTransfer	Bepipred 3.0 	F1	6.31461194272598e-05	0.211254703	0.045903573	0.096608379	0.325901027
EpitopeTransfer	Epidope 	F1	4.0574210657951e-12	0.37743021	0.045903573	0.262783885	0.492076534
EpitopeTransfer	Epitope1D 	F1	0.000140422	0.202839686	0.045903573	0.088193362	0.31748601
EpitopeTransfer	EpitopeVec 	F1	0.105380787	0.099819516	0.045903573	-0.014826808	0.214465841
EpitopeTransfer	Bepipred 3.0 	MCC	0.000146138	0.195682631	0.04456507	0.084426321	0.306938942
EpitopeTransfer	Epidope 	MCC	2.99744739540309e-06	0.246925698	0.04456507	0.135669387	0.358182009
EpitopeTransfer	Epitope1D 	MCC	9.90543692613866e-06	0.229889624	0.04456507	0.118633313	0.341145935
EpitopeTransfer	EpitopeVec 	MCC	1.0660786806671e-06	0.24918098	0.04456507	0.137924669	0.360437291
EpitopeTransfer	Bepipred 3.0 	NPV	0.013834316	0.14355132	0.048002654	0.023720289	0.263382351
EpitopeTransfer	Epidope 	NPV	1.24012152491471e-06	0.267156611	0.048002654	0.147325579	0.386987642
EpitopeTransfer	Epitope1D 	NPV	0.037908497	0.125133006	0.048002654	0.005301975	0.244964038
EpitopeTransfer	EpitopeVec 	NPV	3.54114662234339e-05	0.228858017	0.048002654	0.109026985	0.348689048
EpitopeTransfer	Bepipred 3.0 	PPV	0.208784708	0.097997166	0.053293236	-0.035109951	0.231104283
EpitopeTransfer	Epidope 	PPV	0.999451765	0.008845867	0.053293236	-0.12426125	0.141952983
EpitopeTransfer	Epitope1D 	PPV	0.043092843	0.136342744	0.053293236	0.003235627	0.26944986
EpitopeTransfer	EpitopeVec 	PPV	0.648987838	0.058077643	0.053293236	-0.075029474	0.19118476
EpitopeTransfer	Bepipred 3.0 	Sensitivity	0.000157505	0.290637294	0.06657985	0.124423366	0.456851223
EpitopeTransfer	Epidope 	Sensitivity	3.17964432561268e-10	0.49748962	0.06657985	0.331275692	0.663703549
EpitopeTransfer	Epitope1D 	Sensitivity	0.004101519	0.226557419	0.06657985	0.06034349	0.392771347
EpitopeTransfer	EpitopeVec 	Sensitivity	0.109955727	0.14348827	0.06657985	-0.022725659	0.309702199
EpitopeTransfer	Bepipred 3.0 	Specificity	0.242704041	-0.118016762	0.067156932	-0.285694107	0.049660582
EpitopeTransfer	Epidope 	Specificity	0.001331528	-0.252129358	0.067156932	-0.419806702	-0.084452014
EpitopeTransfer	Epitope1D 	Specificity	0.999789755	-0.008743248	0.067156932	-0.176420592	0.158934096
EpitopeTransfer	EpitopeVec 	Specificity	0.494417634	0.088060573	0.067156932	-0.079616771	0.255737917
